tortas	Saldus pyragas su kremu; jį valgome per gimtadienį.	cake	A sweet pie with cream; we eat it for a birthday.	Močiutė kepa didelį tortą.	Grandmother bakes a big cake.	noun
tramvajus	Miesto transportas gatvėje; jis važiuoja elektra.	tram	City transport on the street; it runs on electricity.	Į darbą važiuoju tramvajumi.	To work I go by tram.	noun
transportas	Autobusai, troleibusai ir traukiniai; jie veža žmones.	transport	Buses, trolley buses and trains; they carry people.	Į mokyklą važiuoju miesto transportu.	To school I go by city transport.	noun
trečiadienis	Savaitės vidurys – po antradienio, prieš ketvirtadienį.	Wednesday	The middle of the week — after Tuesday, before Thursday.	Trečiadienį einame į baseiną.	On Wednesday we go to the swimming pool.	noun
trečias	Toks, kuris eilėje yra po antro.	third	One who in a line is after the second.	Jis gyvena trečiame aukšte.	He lives on the third floor.	adj
triukšmingas	Ne ramus; ten daug žmonių ir mašinų.	noisy	Not calm; there are many people and cars.	Mes gyvename triukšmingoje gatvėje.	We live on a noisy street.	adj
trukti	Būti kurį laiką nuo pradžios iki pabaigos.	to last	To be for some time from the beginning to the end.	Koncertas truko ilgai.	The concert lasted long.	verb
trumpas	Toks, kurio ilgis mažas; ne ilgas.	short	One whose length is small; not long.	Ji nešioja trumpus plaukus.	She wears short hair.	adj
truputis	Labai mažas kiekis; ne daug.	a little bit	A very small amount; not much.	Duok man truputį druskos.	Give me a little bit of salt.	noun
tryliktas	Eilėje jis yra po dvylikto, prieš keturioliktą.	thirteenth	In a line he is after the twelfth, before the fourteenth.	Ji gyvena tryliktame name.	She lives in the thirteenth house.	adj
turėti	Kai daiktas yra tavo, o ne kito žmogaus.	to have	When a thing is yours, and not another person's.	Mes turime naują mašiną.	We have a new car.	verb
tvarkingas	Toks, kurio daiktai visada yra savo vietose.	tidy	One whose things are always in their places.	Ji turi tvarkingą kambarį.	She has a tidy room.	adj
tvartas	Pastatas gyvūnams kaime; jame stovi karvės.	barn	A building for animals in the village; in it stand cows.	Karvės eina į tvartą.	The cows go into the barn.	noun
tvora	Medinė siena aplink kiemą ar sodą.	fence	A wooden wall around a yard or a garden.	Katinas sėdi ant tvoros.	The cat sits on the fence.	noun
tylėti	Nekalbėti; sėdėti be žodžių.	to be quiet	To not speak; to sit without words.	Per pamoką vaikai tyli.	During the lesson the children are quiet.	verb
ukrainietis	Vyras iš Ukrainos.	Ukrainian	A man from Ukraine.	Vakar kalbėjau su ukrainiečiu.	Yesterday I spoke with a Ukrainian.	noun
uodega	Ilga gyvūno kūno dalis nugaros gale.	tail	A long part of an animal's body at the end of the back.	Šuo turi ilgą uodegą.	The dog has a long tail.	noun
uogauti	Miške rinkti mažus raudonus ar mėlynus vaisius.	to pick berries	In the forest to gather small red or blue fruits.	Vasarą močiutė uogauja miške.	In summer grandmother picks berries in the forest.	verb
uogienė	Saldus valgis iš vaisių ir cukraus.	jam	A sweet food from fruits and sugar.	Ryte valgau duoną su uogiene.	In the morning I eat bread with jam.	noun
vadinti	Duoti žmogui ar daiktui vardą.	to call	To give a name to a person or a thing.	Tėvai vadina sūnų Jonu.	The parents call the son Jonas.	verb
vaidmuo	Aktoriaus darbas filme ar spektaklyje.	role	An actor's work in a film or a play.	Filme jis turėjo mažą vaidmenį.	In the film he had a small role.	noun
vaikystė	Laikas, kai žmogus buvo mažas ir žaidė.	childhood	The time when a person was small and played.	Apie vaikystę ji pasakoja gražiai.	About her childhood she tells beautifully.	noun
vaikščioti	Lėtai eiti parke ar miške; taip ilsėtis.	to walk	To go slowly in a park or a forest; to rest that way.	Vakare jie vaikščiojo po senamiestį.	In the evening they walked around the old town.	verb
vainikas	Apvalus daiktas iš gėlių ant galvos.	wreath	A round thing from flowers on the head.	Mergaitė pina vainiką iš gėlių.	The girl weaves a wreath from flowers.	noun
vaisius	Saldus daiktas nuo medžio; obuolys ar kriaušė.	fruit	A sweet thing from a tree; an apple or a pear.	Vasarą valgome daug vaisių.	In summer we eat many fruits.	noun
vaivorykštė	Danguje po lietaus – daug gražių spalvų.	rainbow	In the sky after rain — many beautiful colours.	Po lietaus danguje matėme vaivorykštę.	After the rain in the sky we saw a rainbow.	noun
vakarai	Ta Lietuvos pusė, kur yra jūra; ne rytai.	west	That side of Lithuania where the sea is; not the east.	Klaipėda yra Lietuvos vakaruose.	Klaipėda is in Lithuania's west.	noun
vakaras	Dienos laikas prieš naktį; žmonės grįžta namo.	evening	The time of day before night; people return home.	Šį vakarą einame į teatrą.	This evening we go to the theater.	noun
vakarieniauti	Valgyti šiltą maistą po darbo, prieš naktį.	to have dinner	To eat warm food after work, before night.	Šeima vakarieniauja septintą valandą.	The family has dinner at seven o'clock.	verb
valanda	Laiko dalis – nuo pirmos iki antros; joje daug minučių.	hour	A part of time — from one o'clock to two; in it many minutes.	Pamoka trunka vieną valandą.	The lesson lasts one hour.	noun
valdymas	Kai vyriausybė ar ministras sako, ką daryti šaliai.	rule	When the government or a minister says what to do for the country.	Studentai mokosi apie šalies valdymą.	The students learn how the country is ruled.	noun
valtis	Mažas laivas ežere ar upėje.	boat	A small ship on a lake or a river.	Ežere plaukiame valtimi.	On the lake we sail by boat.	noun
valytojas	Žmogus, kuris mokykloje plauna grindis.	cleaner	A person who washes the floors at school.	Mokykloje kalbėjome su valytoju.	At school we spoke with the cleaner.	noun
vardadienis	Šventė, kai žmogų sveikiname ir dovanojame gėlių; ne gimtadienis.	name day	A celebration when we congratulate a person and give flowers; not a birthday.	Rūta švenčia vardadienį.	Rūta celebrates her name day.	noun
vardininkas	Žodžio forma gramatikoje; klausimas – kas?	nominative case	A word form in grammar; the question — who?	Per pamoką mokomės vardininko.	During the lesson we learn the nominative case.	noun
vartai	Didelės durys tvoroje; pro jas važiuoja mašinos.	gate	Big doors in a fence; through them drive cars.	Vaikai žaidžia prie vartų.	The children play by the gate.	noun
vartoti	Gerti vaistus ar valgyti maistą, kaip sako gydytojas.	to use	To drink medicine or eat food, as the doctor says.	Vaistus vartojame po valgio.	The medicine we use after a meal.	verb
varškė	Baltas minkštas valgis iš pieno.	cottage cheese	A white soft food from milk.	Ryte valgau varškę su grietine.	In the morning I eat cottage cheese with sour cream.	noun
vasaris	Antras metų mėnuo; tada šalta ir daug sniego.	February	The second month of the year; then it is cold and there is much snow.	Vasarį šventėme gimtadienį.	In February we celebrated a birthday.	noun
važinėti	Keliauti mašina ar autobusu po miestą.	to ride	To travel by car or bus around the city.	Jis dažnai važinėja po Lietuvą.	He often rides around Lithuania.	verb
vedėjas	Darbuotojų viršininkas skyriuje ar parduotuvėje.	manager	The workers' boss in a department or a shop.	Kalbėjau su parduotuvės vedėju.	I spoke with the shop's manager.	noun
veidas	Kūno dalis, kur yra akys, nosis ir burna.	face	A body part where there are eyes, a nose and a mouth.	Ryte plaunu veidą.	In the morning I wash my face.	noun
veidrodis	Vonioje kaba stiklas, kuriame matai save.	mirror	In the bathroom hangs a glass in which you see yourself.	Ji žiūri į veidrodį.	She looks into the mirror.	noun
veja	Žalia žolė prie namo; ją reikia pjauti.	lawn	Green grass by the house; it needs cutting.	Vaikai žaidžia ant vejos.	The children play on the lawn.	noun
verkti	Kai iš akių bėga vanduo, nes žmogus liūdnas.	to cry	When water runs from the eyes, because a person is sad.	Mažas kūdikis verkia lovoje.	A small baby cries in the bed.	verb
verslininkas	Žmogus, kuris turi savo parduotuvę ar gamyklą.	businessman	A person who has his own shop or factory.	Laikraštis rašo apie verslininką.	The newspaper writes about the businessman.	noun
vesti	Imti vaiką už rankos ir eiti kartu.	to lead	To take a child by the hand and go together.	Mama veda vaiką į mokyklą.	Mother leads the child to school.	verb
vežti	Mašina ar traukiniu nešti daiktus į kitą vietą.	to transport	By car or train to carry things to another place.	Traukinys veža žmones į Kauną.	The train transports people to Kaunas.	verb
vidurdienis	Laikas dvyliktą valandą; tada saulė yra aukštai.	noon	The time at twelve o'clock; then the sun is high.	Susitiksime vidurdienį prie kavinės.	We will meet at noon by the cafe.	noun
vidurinis	Toks, kuris eilėje yra ne pirmas ir ne paskutinis.	middle	One that in a line is not the first and not the last.	Ji sėdi vidurinėje eilėje.	She sits in the middle row.	adj
